step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.430194739643374,0,0.0,0.960057400720681,0,0.0,0.980649671079815,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9803426868241811,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9815484269759986,0,0.0,0.9781964362118294,0,0.0,0.9815562535858865,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9815484269759986,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.467655662674424,0,0.0,0.9757484095557346,0,0.0,0.987878133759809,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9309095625716971,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9886333916115193,0,0.0,0.9867416170850328,0,0.0,0.9692803988433992,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9303846708204423,0,0.0,1.0,0,0.0
15.0,3,6.0,0.15,11.587803483464985,1,2.0,0.7991969387658633,0,0.0,0.9733694236744298,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9561277004723588,0,0.0,0.7086460374418344,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9727514700381179,0,0.0,0.9806538499796777,1,1.0,0.6224892789273826,0,0.0,0.9873758180890079,0,0.0,0.9711957487961103,0,0.0,0.9854406039779129,1,3.0,0.5746318989610608,0,0.0,1.0,3,6.0
20.0,9,36.0,0.6428571428571429,10.597588141397548,3,11.0,0.6116003714361249,0,0.0,0.8776963882769094,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9681426472199574,0,0.0,0.9102897660256001,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9709401788221832,0,0.0,0.9727028931195031,3,11.0,0.534340994510747,0,0.0,0.9905850466431803,0,0.0,0.9926523471137227,0,0.0,0.9601095612006226,3,14.0,0.41018088196923114,0,0.0,1.0,9,36.0
25.0,2,5.0,0.06944444444444445,10.021536423371666,0,5.0,0.7381714275866753,2,5.0,0.634809340140712,0,0.0,0.9694550443413875,0,0.0,1.0,0,0.0,0.9735402723176505,0,0.0,0.9646771954114852,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9770848028195059,0,0.0,0.8038259267555986,0,8.0,0.5672657093555645,0,0.0,0.9653410238753971,0,0.0,0.9812081807649782,0,0.0,0.7757223161964508,0,7.0,0.44962170044585564,0,0.0,0.9686005584229065,2,25.0
30.0,8,31.0,0.3875,9.39417233364576,2,4.0,0.6759467396909113,4,21.0,0.4770364956335056,0,0.0,0.966294677308325,0,0.0,0.9425722118792982,0,0.0,0.8043725343603558,0,0.0,0.9736341321381916,0,0.0,0.9642490309084617,0,0.0,1.0,0,0.0,0.8598972282983475,2,6.0,0.49304061636080165,0,4.0,0.8817646465252993,0,4.0,0.44016996384190715,0,0.0,0.7408650419772765,0,0.0,0.5768711717703884,0,2.0,0.553653567983342,0,4.0,0.5526159122734723,8,45.0
35.0,7,17.0,0.17708333333333334,8.866239528769825,1,5.0,0.6627097481118979,0,18.0,0.4897764507795032,0,0.0,0.9637627402193202,0,2.0,0.731395401856429,1,3.0,0.536001490850628,1,1.0,0.3137848936984951,0,0.0,0.8997917112803044,0,0.0,1.0,1,3.0,0.6645612138292254,0,3.0,0.5500681090746304,0,4.0,0.9378890338256687,0,4.0,0.7469163782642294,2,6.0,0.23657252220867184,0,0.0,1.0,0,0.0,0.8751282521350637,1,5.0,0.6678839104374114,7,54.0
40.0,10,45.0,0.4017857142857143,8.977351344214549,3,16.0,0.7078746405976827,0,4.0,0.8421820011257438,0,0.0,1.0,0,2.0,0.9112095966401362,0,1.0,0.5890240721502135,2,10.0,0.0029400574116418016,2,3.0,0.40031308673847893,0,0.0,1.0,3,16.0,0.47337048056612274,0,0.0,0.7690132170718167,0,0.0,0.8175518608027844,0,8.0,0.6800565236164235,0,3.0,0.11203368162249316,0,4.0,0.5472972112935426,0,0.0,0.8928801383437125,0,5.0,0.819175602767049,10,72.0
45.0,8,20.0,0.16666666666666666,7.772723118407755,0,10.0,0.5428831923040655,2,10.0,0.7608132689841086,0,4.0,0.5105000902033329,0,2.0,0.9662517062301821,0,0.0,0.6838491134373171,0,13.0,0.4672063916563793,0,4.0,0.44328757294797144,0,0.0,0.9753619903188093,0,11.0,0.31535954909016783,0,0.0,0.8980581808094099,1,7.0,0.5245567887243976,2,10.0,0.3845794742688161,0,0.0,1.0,0,4.0,0.8023719370668473,0,0.0,0.928483913911974,3,12.0,0.34462164569449233,8,87.0
