step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.736120581285408,0,0.0,0.424500274742228,0,0.0
10.0,0,0.0,0.0,11.234108671504046,0,0.0,0.831101104434792,0,0.0
15.0,0,0.0,0.0,8.277151932901244,0,0.0,0.5724965035672528,0,0.0
20.0,8,19.0,0.7916666666666666,5.892669287627201,8,19.0,0.32089155844798684,8,19.0
25.0,12,50.0,1.7857142857142858,6.30365399564855,12,50.0,0.3553341137575367,12,50.0
30.0,12,99.0,3.8076923076923075,4.3772861214438015,12,99.0,0.2660441526545525,12,99.0
35.0,10,93.0,3.3214285714285716,4.984731860963839,10,130.0,0.30215112730045285,10,130.0
40.0,16,140.0,3.6842105263157894,4.7083377589363975,16,144.0,0.2295708801033519,16,144.0
45.0,10,70.0,1.75,6.947471236360014,10,148.0,0.3902309640777526,10,148.0
50.0,6,49.0,1.1951219512195121,6.6532782871035865,6,103.0,0.34987477764372704,6,103.0
55.0,12,50.0,1.1904761904761905,4.4895190573365795,12,123.0,0.20574255676595846,12,123.0
60.0,16,121.0,3.1842105263157894,5.578831882965164,16,175.0,0.27034463914781387,16,175.0
65.0,18,172.0,4.095238095238095,5.126877886951114,18,241.0,0.2186567134944408,18,241.0
70.0,21,272.0,6.8,4.484079604461838,21,326.0,0.17796001372301168,21,326.0
75.0,20,266.0,6.045454545454546,3.0846560128686167,20,367.0,0.14356313125127884,20,367.0
80.0,24,381.0,8.282608695652174,4.57486469974962,24,435.0,0.25054408719046145,24,435.0
85.0,29,507.0,10.346938775510203,3.929696066168325,29,561.0,0.1970739121123107,29,561.0
90.0,33,656.0,13.387755102040817,2.763733549830531,33,710.0,0.09482625024129375,33,710.0
95.0,38,833.0,16.66,2.2464908310782814,38,887.0,0.08895399458389062,38,887.0
100.0,37,849.0,15.722222222222221,2.182846930667054,37,1007.0,0.11486894133411979,37,1007.0
105.0,28,911.0,16.87037037037037,3.0933414264309684,28,1055.0,0.1447007145917558,28,1055.0
110.0,30,743.0,12.180327868852459,2.914638602353614,30,1053.0,0.11129621496603069,30,1053.0
115.0,27,393.0,6.140625,3.6271023607490966,27,949.0,0.16847181453552712,27,949.0
120.0,28,276.0,4.6,3.786564012789966,28,1026.0,0.19099918309222325,28,1026.0
125.0,31,303.0,4.887096774193548,2.453089595788511,31,1172.0,0.10863325304010772,31,1172.0
130.0,30,334.0,5.21875,2.4541014740247764,30,1252.0,0.11878732062007841,30,1252.0
135.0,29,348.0,5.2727272727272725,2.8715784790782117,29,1282.0,0.11552935884562257,29,1282.0
140.0,33,484.0,7.117647058823529,3.368572699283238,33,1357.0,0.12060656785635768,33,1357.0
